Transaction_ID,Time,Amount,City,Device,Merchant,UPI_App,Hour,Is_Fraud,Day,Date
85722,2026-01-27 07:00:30,108.93,Delhi,Old,BillPay,Paytm,7,0,Tuesday,2026-01-27
90185,2026-01-28 20:12:00,26.11,Mumbai,New,Grocery,Paytm,20,1,Wednesday,2026-01-28
29865,2026-01-07 21:32:00,593.97,Chennai,Old,BillPay,GPay,21,0,Wednesday,2026-01-07
86700,2026-01-27 15:09:30,660.5,Delhi,New,BillPay,PhonePe,15,0,Tuesday,2026-01-27
102992,2026-02-02 06:55:30,129.79,Hyderabad,Old,Amazon,Paytm,6,0,Monday,2026-02-02
86435,2026-01-27 12:57:00,130.43,Coimbatore,Old,Zomato,Paytm,12,0,Tuesday,2026-01-27
94005,2026-01-30 04:02:00,426.08,Delhi,Old,Grocery,GPay,4,1,Friday,2026-01-30
90918,2026-01-29 02:18:30,539.22,Coimbatore,Old,Amazon,GPay,2,1,Thursday,2026-01-29
70768,2026-01-22 02:23:30,666.17,Delhi,Old,Petrol,PhonePe,2,1,Thursday,2026-01-22
60075,2026-01-18 09:17:00,80.32,Bangalore,Old,Petrol,PhonePe,9,0,Sunday,2026-01-18
37702,2026-01-10 14:50:30,1438.27,Hyderabad,Old,Petrol,GPay,14,0,Saturday,2026-01-10
52142,2026-01-15 15:10:30,194.89,Mumbai,Old,Grocery,Paytm,15,0,Thursday,2026-01-15
55081,2026-01-16 15:40:00,558.08,Mumbai,New,Zomato,GPay,15,0,Friday,2026-01-16
26639,2026-01-06 18:39:00,171.39,Chennai,Old,Grocery,PhonePe,18,0,Tuesday,2026-01-06
30425,2026-01-08 02:12:00,1044.96,Bangalore,Old,Amazon,GPay,2,1,Thursday,2026-01-08
98703,2026-01-31 19:11:00,817.69,Coimbatore,Old,BillPay,PhonePe,19,0,Saturday,2026-01-31
10150,2026-01-01 01:14:30,130.65,Coimbatore,Old,BillPay,PhonePe,1,1,Thursday,2026-01-01
11762,2026-01-01 14:40:30,744.08,Hyderabad,New,BillPay,GPay,14,0,Thursday,2026-01-01
73121,2026-01-22 22:00:00,615.86,Delhi,Old,Swiggy,GPay,22,0,Thursday,2026-01-22
79162,2026-01-25 00:20:30,304.1,Chennai,Old,Grocery,PhonePe,0,1,Sunday,2026-01-25
74884,2026-01-23 12:41:30,76.12,Delhi,Old,Zomato,PhonePe,12,0,Friday,2026-01-23
12496,2026-01-01 20:47:30,271.17,Coimbatore,Old,BillPay,PhonePe,20,0,Thursday,2026-01-01
90297,2026-01-28 21:08:00,234.66,Coimbatore,New,Amazon,GPay,21,1,Wednesday,2026-01-28
29448,2026-01-07 18:03:30,295.08,Chennai,Old,Amazon,Paytm,18,0,Wednesday,2026-01-07
51332,2026-01-15 08:25:30,19.77,Delhi,Old,Petrol,PhonePe,8,0,Thursday,2026-01-15
24889,2026-01-06 04:04:00,1172.27,Coimbatore,New,BillPay,Paytm,4,1,Tuesday,2026-01-06
98637,2026-01-31 18:38:00,174.36,Mumbai,New,Swiggy,GPay,18,1,Saturday,2026-01-31
104893,2026-02-02 22:46:00,46.31,Bangalore,New,Swiggy,Paytm,22,1,Monday,2026-02-02
102732,2026-02-02 04:45:30,257.69,Mumbai,Old,Grocery,GPay,4,1,Monday,2026-02-02
39131,2026-01-11 02:45:00,907.01,Mumbai,Old,Swiggy,GPay,2,1,Sunday,2026-01-11
89023,2026-01-28 10:31:00,1091.27,Mumbai,Old,Grocery,Paytm,10,0,Wednesday,2026-01-28
94937,2026-01-30 11:48:00,66.55,Bangalore,New,BillPay,GPay,11,1,Friday,2026-01-30
26822,2026-01-06 20:10:30,299.84,Delhi,Old,Zomato,PhonePe,20,0,Tuesday,2026-01-06
46734,2026-01-13 18:06:30,294.73,Delhi,Old,Zomato,Paytm,18,0,Tuesday,2026-01-13
25603,2026-01-06 10:01:00,360.72,Coimbatore,Old,Amazon,PhonePe,10,0,Tuesday,2026-01-06
38534,2026-01-10 21:46:30,568.39,Bangalore,Old,Amazon,GPay,21,0,Saturday,2026-01-10
79770,2026-01-25 05:24:30,199.66,Mumbai,New,Swiggy,Paytm,5,1,Sunday,2026-01-25
21406,2026-01-04 23:02:30,356.89,Delhi,Old,Grocery,PhonePe,23,0,Sunday,2026-01-04
106853,2026-02-03 15:06:00,23.5,Delhi,Old,Zomato,GPay,15,0,Tuesday,2026-02-03
26131,2026-01-06 14:25:00,548.76,Delhi,Old,Amazon,Paytm,14,0,Tuesday,2026-01-06
29793,2026-01-07 20:56:00,275.07,Chennai,New,Swiggy,Paytm,20,1,Wednesday,2026-01-07
99578,2026-02-01 02:28:30,1399.72,Hyderabad,New,BillPay,GPay,2,1,Sunday,2026-02-01
50164,2026-01-14 22:41:30,129.92,Mumbai,Old,Petrol,GPay,22,0,Wednesday,2026-01-14
41777,2026-01-12 00:48:00,40.07,Delhi,New,Amazon,PhonePe,0,1,Monday,2026-01-12
